CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
18,MR.,CLARENCE,RAI,9/10/1944,S,M,clarence32@adventure-works.com,30000,2,Partial College,Clerical,Y
19,MR.,LUKE,LAL,7/03/1978,S,M,luke18@adventure-works.com,40000,0,High School,Skilled Manual,N
20,MR.,JORDAN,KING,20/09/1978,S,M,jordan73@adventure-works.com,40000,0,High School,Skilled Manual,N
21,MS.,DESTINY,WILSON,3/09/1978,S,F,destiny7@adventure-works.com,40000,0,Partial College,Skilled Manual,N
22,MR.,ETHAN,ZHANG,12/10/1978,M,M,ethan20@adventure-works.com,40000,0,Partial College,Skilled Manual,Y
23,MR.,SETH,EDWARDS,11/10/1978,M,M,seth46@adventure-works.com,40000,0,Partial College,Skilled Manual,Y
24,MR.,RUSSELL,XIE,17/09/1978,M,M,russell7@adventure-works.com,60000,0,Partial College,Skilled Manual,Y
25,,ALEJANDRO,BECK,23/12/1945,M,NA,alejandro45@adventure-works.com,10000,2,Partial High School,Clerical,Y
26,MR.,HAROLD,SAI,3/04/1946,S,M,harold3@adventure-works.com,30000,2,Partial College,Clerical,N
27,MR.,JESSIE,ZHAO,7/12/1946,M,M,jessie16@adventure-works.com,30000,2,Partial College,Clerical,Y
28,MRS.,JILL,JIMENEZ,11/04/1946,M,F,jill13@adventure-works.com,30000,2,Partial College,Clerical,Y
29,MR.,JIMMY,MORENO,21/12/1946,M,M,jimmy9@adventure-works.com,30000,2,Partial College,Clerical,Y
30,MRS.,BETHANY,YUAN,22/02/1947,M,F,bethany10@adventure-works.com,10000,2,Partial High School,Clerical,Y
31,MRS.,THERESA,RAMOS,22/08/1947,M,F,theresa13@adventure-works.com,20000,4,High School,Skilled Manual,Y
32,MRS.,DENISE,STONE,11/06/1947,M,F,denise10@adventure-works.com,20000,4,High School,Skilled Manual,Y
33,MR.,JAIME,NATH,23/09/1947,M,M,jaime41@adventure-works.com,20000,4,High School,Skilled Manual,Y
34,MRS.,EBONY,GONZALEZ,19/06/1947,M,F,ebony19@adventure-works.com,20000,4,High School,Skilled Manual,Y
35,,WENDY,DOMINGUEZ,24/02/1948,M,NA,wendy12@adventure-works.com,10000,2,Partial High School,Clerical,Y
36,MS.,JENNIFER,RUSSELL,18/12/1978,M,F,jennifer93@adventure-works.com,60000,0,Partial College,Skilled Manual,Y
37,MS.,CHLOE,GARCIA,27/11/1977,S,F,chloe27@adventure-works.com,40000,0,Partial High School,Clerical,N
38,MRS.,DIANA,HERNANDEZ,23/03/1948,M,F,diana2@adventure-works.com,10000,2,Partial High School,Clerical,Y
39,MR.,MARC,MARTIN,17/12/1948,M,M,marc3@adventure-works.com,30000,3,Partial College,Clerical,Y
40,MR.,JESSE,MURPHY,1/08/1977,M,M,jesse15@adventure-works.com,30000,0,Partial College,Skilled Manual,Y
41,MS.,AMANDA,CARTER,16/10/1977,M,F,amanda53@adventure-works.com,60000,0,Partial College,Skilled Manual,Y
42,MS.,MEGAN,SANCHEZ,13/06/1977,M,F,megan28@adventure-works.com,70000,0,Partial College,Skilled Manual,Y
43,MR.,NATHAN,SIMMONS,24/02/1976,M,M,nathan11@adventure-works.com,60000,0,Partial College,Skilled Manual,Y
44,MR.,ADAM,FLORES,24/05/1949,M,M,adam10@adventure-works.com,20000,2,Partial High School,Clerical,Y
45,MR.,LEONARD,NARA,19/05/1950,S,M,leonard18@adventure-works.com,30000,3,High School,Skilled Manual,N
46,MRS.,CHRISTINE,YUAN,22/03/1950,M,F,christine4@adventure-works.com,30000,3,High School,Skilled Manual,Y
47,MRS.,JACLYN,LU,27/02/1950,M,F,jaclyn12@adventure-works.com,30000,3,High School,Skilled Manual,N
48,MR.,JEREMY,POWELL,22/11/1950,M,M,jeremy26@adventure-works.com,30000,3,High School,Skilled Manual,Y
49,MS.,CAROL,RAI,18/07/1980,S,F,carol8@adventure-works.com,40000,0,Partial High School,Clerical,Y
50,MR.,ALAN,ZHENG,7/09/1951,M,M,alan23@adventure-works.com,30000,3,High School,Skilled Manual,Y
51,MR.,DANIEL,JOHNSON,4/08/1951,S,M,daniel18@adventure-works.com,30000,3,High School,Skilled Manual,N
52,MRS.,HEIDI,LOPEZ,7/08/1951,S,F,heidi19@adventure-works.com,40000,2,Partial College,Clerical,N
53,MS.,ANA,PRICE,20/08/1980,M,F,ana0@adventure-works.com,60000,0,Partial College,Skilled Manual,N
54,MRS.,DEANNA,MUNOZ,10/03/1952,M,F,deanna33@adventure-works.com,40000,2,Partial College,Skilled Manual,Y
55,MR.,GILBERT,RAJE,5/03/1952,M,M,gilbert35@adventure-works.com,40000,2,Partial College,Skilled Manual,Y
56,MRS.,MICHELE,NATH,3/04/1953,M,F,michele19@adventure-works.com,40000,3,Partial College,Skilled Manual,Y
57,MR.,CARL,ANDERSEN,12/10/1953,M,M,carl12@adventure-works.com,70000,2,Graduate Degree,Management,Y
58,MR.,MARC,DIAZ,27/04/1954,M,M,marc6@adventure-works.com,80000,2,Partial College,Skilled Manual,Y
59,MRS.,ASHLEE,ANDERSEN,1/04/1954,S,F,ashlee19@adventure-works.com,80000,2,Partial College,Skilled Manual,Y
60,MR.,JON,ZHOU,17/03/1954,M,M,jon28@adventure-works.com,80000,2,Partial College,Skilled Manual,Y
61,MR.,TODD,GAO,27/02/1954,M,M,todd14@adventure-works.com,80000,2,Partial College,Skilled Manual,Y
62,MR.,NOAH,POWELL,2/09/1975,M,M,noah5@adventure-works.com,40000,0,High School,Skilled Manual,Y
63,MS.,ANGELA,MURPHY,7/04/1975,S,F,angela41@adventure-works.com,40000,0,High School,Skilled Manual,Y
64,MR.,CHASE,REED,7/12/1975,M,M,chase21@adventure-works.com,40000,0,High School,Skilled Manual,Y
65,MS.,JESSICA,HENDERSON,9/10/1973,M,F,jessica29@adventure-works.com,60000,0,Partial College,Skilled Manual,N
66,MS.,GRACE,BUTLER,27/11/1973,M,F,grace62@adventure-works.com,70000,0,Partial College,Professional,Y
67,MR.,CALEB,CARTER,25/09/1976,S,M,caleb40@adventure-works.com,60000,0,Partial College,Professional,Y
68,MRS.,TIFFANY,LIANG,23/09/1955,S,F,tiffany17@adventure-works.com,80000,2,High School,Skilled Manual,Y
69,MRS.,CAROLYN,NAVARRO,21/09/1955,S,F,carolyn30@adventure-works.com,80000,2,High School,Skilled Manual,N
70,MR.,WILLIE,RAJI,5/04/1955,M,M,willie40@adventure-works.com,80000,2,High School,Skilled Manual,Y
71,MRS.,LINDA,SERRANO,26/06/1955,S,F,linda31@adventure-works.com,80000,2,High School,Skilled Manual,Y
72,MRS.,CASEY,LUO,6/02/1955,S,F,casey6@adventure-works.com,80000,2,High School,Skilled Manual,N
73,MRS.,AMY,YE,14/08/1956,S,F,amy16@adventure-works.com,70000,2,High School,Skilled Manual,Y
74,MR.,LEVI,ARUN,28/08/1956,S,M,levi6@adventure-works.com,70000,2,High School,Skilled Manual,Y
75,MRS.,FELICIA,JIMENEZ,16/11/1957,S,F,felicia4@adventure-works.com,80000,2,High School,Professional,Y
76,MR.,BLAKE,ANDERSON,13/07/1957,S,M,blake9@adventure-works.com,80000,2,High School,Professional,Y
77,MRS.,LEAH,YE,19/09/1957,S,F,leah7@adventure-works.com,80000,2,High School,Professional,N
78,MS.,GINA,MARTIN,10/01/1974,S,F,gina1@adventure-works.com,40000,0,High School,Professional,N
79,MR.,DONALD,GONZALEZ,11/03/1959,S,M,donald20@adventure-works.com,160000,0,Graduate Degree,Management,Y
80,MR.,DAMIEN,CHANDER,17/07/1959,M,M,damien32@adventure-works.com,170000,0,Graduate Degree,Management,Y
81,MRS.,SAVANNAH,BAKER,24/07/1966,M,F,savannah39@adventure-works.com,120000,2,Bachelors,Management,Y
82,,ANGELA,BUTLER,4/08/1966,S,NA,angela17@adventure-works.com,130000,0,Graduate Degree,Management,N
83,MS.,ALYSSA,COX,15/03/1966,M,F,alyssa37@adventure-works.com,130000,0,Graduate Degree,Management,Y
84,MR.,LUCAS,PHILLIPS,12/09/1957,S,M,lucas7@adventure-works.com,80000,2,Partial High School,Skilled Manual,N
85,MRS.,EMILY,JOHNSON,19/07/1957,S,F,emily1@adventure-works.com,60000,2,High School,Professional,N
86,MR.,RYAN,BROWN,23/12/1957,M,M,ryan43@adventure-works.com,70000,2,Partial College,Professional,Y
87,MRS.,TAMARA,LIANG,3/10/1957,M,F,tamara6@adventure-works.com,70000,3,Partial College,Professional,N
88,MRS.,ABIGAIL,PRICE,5/02/1957,S,F,abigail25@adventure-works.com,80000,2,Bachelors,Management,Y
89,MR.,TREVOR,BRYANT,17/12/1957,S,M,trevor18@adventure-works.com,90000,2,Partial College,Professional,Y
90,MR.,DALTON,PEREZ,4/04/1957,M,M,dalton37@adventure-works.com,90000,2,Partial College,Professional,Y
91,MRS.,CHERYL,DIAZ,6/05/1967,M,F,cheryl4@adventure-works.com,90000,2,Bachelors,Professional,Y
92,MS.,AIMEE,HE,10/09/1967,M,F,aimee13@adventure-works.com,100000,0,Graduate Degree,Management,Y
93,MR.,CEDRIC,MA,1/04/1962,S,M,cedric15@adventure-works.com,70000,1,Partial College,Skilled Manual,N
94,MR.,CHAD,KUMAR,1/09/1962,S,M,chad9@adventure-works.com,70000,1,Partial College,Skilled Manual,Y
95,MR.,ANDRÉS,ANAND,10/08/1962,M,M,andrés18@adventure-works.com,60000,1,Bachelors,Professional,Y
96,MR.,EDWIN,NARA,27/10/1961,M,M,edwin39@adventure-works.com,60000,1,Partial College,Skilled Manual,Y
97,MRS.,MALLORY,RUBIO,1/05/1961,S,F,mallory7@adventure-works.com,60000,1,Partial College,Skilled Manual,N
98,MR.,ADAM,ROSS,8/03/1961,M,M,adam2@adventure-works.com,60000,1,Bachelors,Professional,Y
99,MRS.,LATASHA,NAVARRO,15/09/1960,S,F,latasha10@adventure-works.com,60000,1,Partial College,Skilled Manual,Y
100,MS.,ABBY,SAI,8/05/1965,S,F,abby4@adventure-works.com,70000,0,Bachelors,Professional,N
101,MRS.,JULIA,NELSON,21/04/1965,S,F,julia7@adventure-works.com,80000,5,Bachelors,Professional,Y
102,MS.,CASSIE,CHANDE,17/10/1964,S,F,cassie13@adventure-works.com,70000,0,Bachelors,Professional,Y
103,MR.,EDGAR,SARA,11/03/1964,M,M,edgar11@adventure-works.com,70000,0,Bachelors,Professional,N
104,MS.,CANDACE,FERNANDEZ,28/12/1964,S,F,candace15@adventure-works.com,70000,0,Bachelors,Professional,N
105,MR.,JESSIE,LIU,11/09/1964,S,M,jessie9@adventure-works.com,70000,0,Bachelors,Professional,N
106,MRS.,BIANCA,LIN,9/09/1959,M,F,bianca7@adventure-works.com,90000,1,Bachelors,Professional,Y
107,MS.,KARI,ALVAREZ,14/07/1963,S,F,kari25@adventure-works.com,70000,0,Bachelors,Professional,N
108,MR.,RUBEN,KAPOOR,5/11/1963,S,M,ruben1@adventure-works.com,70000,0,Bachelors,Professional,N
109,MR.,CURTIS,YANG,6/06/1962,M,M,curtis5@adventure-works.com,60000,1,Partial College,Skilled Manual,Y
110,MRS.,MEREDITH,GUTIERREZ,23/02/1962,M,F,meredith34@adventure-works.com,60000,1,Partial College,Skilled Manual,Y
111,MRS.,CRYSTAL,WANG,9/09/1962,M,F,crystal3@adventure-works.com,60000,1,Partial College,Skilled Manual,Y
112,MR.,MICHEAL,BLANCO,21/02/1962,M,M,micheal11@adventure-works.com,70000,5,Bachelors,Professional,Y
113,MRS.,LESLIE,MORENO,28/05/1962,S,F,leslie7@adventure-works.com,70000,5,Partial College,Skilled Manual,Y
114,MR.,ALVIN,CAI,12/02/1962,M,M,alvin20@adventure-works.com,70000,5,Partial College,Skilled Manual,Y
115,MR.,CLINTON,CARLSON,7/10/1962,M,M,clinton14@adventure-works.com,70000,5,Partial College,Skilled Manual,Y
116,MRS.,APRIL,DENG,21/02/1961,M,F,april1@adventure-works.com,70000,5,Partial College,Skilled Manual,Y
117,MR.,ALVIN,ZENG,3/07/1957,S,M,alvin21@adventure-works.com,80000,1,Partial College,Skilled Manual,N
118,MR.,EVAN,JAMES,10/04/1935,S,M,evan8@adventure-works.com,30000,2,Partial College,Clerical,N
119,MR.,ORLANDO,SUAREZ,18/11/1960,M,M,orlando19@adventure-works.com,70000,5,Partial College,Skilled Manual,Y
120,MR.,BYRON,VAZQUEZ,2/04/1960,M,M,byron9@adventure-works.com,70000,5,Partial College,Skilled Manual,Y
121,MR.,PHILIP,ALVAREZ,20/06/1960,M,M,philip4@adventure-works.com,70000,5,Partial College,Skilled Manual,Y
122,MR.,ROSS,JORDAN,27/07/1957,S,M,ross1@adventure-works.com,80000,1,Partial College,Skilled Manual,Y
123,MRS.,DANA,NAVARRO,8/04/1956,S,F,dana2@adventure-works.com,70000,1,Partial College,Skilled Manual,Y
124,MR.,SHAUN,CARSON,7/04/1949,M,M,shaun16@adventure-works.com,10000,2,High School,Skilled Manual,N
125,MS.,JAN,EDWARDS,21/10/1975,M,F,jan11@adventure-works.com,40000,0,High School,Skilled Manual,Y
126,MS.,SAMANTHA,LONG,5/12/1975,M,F,samantha35@adventure-works.com,40000,0,High School,Skilled Manual,Y
127,MS.,JULIA,WRIGHT,5/08/1975,S,F,julia17@adventure-works.com,40000,0,High School,Skilled Manual,Y
128,MS.,CAROLINE,RUSSELL,6/01/1980,M,F,caroline21@adventure-works.com,30000,0,High School,Skilled Manual,Y
129,MS.,AMANDA,RIVERA,12/03/1980,M,F,amanda7@adventure-works.com,30000,0,High School,Skilled Manual,N
130,MS.,MELISSA,RICHARDSON,26/10/1980,S,F,melissa31@adventure-works.com,30000,0,High School,Skilled Manual,N
131,MS.,ANGELA,GRIFFIN,8/09/1980,S,F,angela23@adventure-works.com,30000,0,Partial High School,Clerical,N
132,MR.,LARRY,TOWNSEND,26/02/1946,S,M,larry14@adventure-works.com,10000,5,High School,Skilled Manual,Y
133,MR.,MARCUS,HARRIS,3/11/1979,S,M,marcus14@adventure-works.com,30000,0,Partial High School,Clerical,N
134,MS.,BRIANNA,MORGAN,26/10/1978,S,F,brianna30@adventure-works.com,40000,0,High School,Skilled Manual,N
135,MS.,JASMINE,TAYLOR,20/07/1978,M,F,jasmine7@adventure-works.com,40000,0,High School,Skilled Manual,Y
136,MS.,LAUREN,DAVIS,15/09/1978,M,F,lauren23@adventure-works.com,40000,0,High School,Skilled Manual,N
137,MRS.,TANYA,MORENO,9/11/1938,S,F,tanya2@adventure-works.com,30000,2,Partial College,Clerical,N
138,MR.,JAVIER,ALVAREZ,11/02/1977,S,M,javier1@adventure-works.com,30000,0,Partial High School,Clerical,N
139,MS.,NICOLE,RAMIREZ,21/06/1977,M,F,nicole42@adventure-works.com,40000,0,High School,Skilled Manual,N
140,MR.,EDUARDO,PATTERSON,14/08/1977,S,M,eduardo55@adventure-works.com,40000,0,High School,Skilled Manual,N
141,MR.,JONATHAN,HENDERSON,4/02/1977,M,M,jonathan4@adventure-works.com,40000,0,High School,Skilled Manual,Y
142,MR.,EDWARD,HERNANDEZ,9/09/1979,S,M,edward48@adventure-works.com,40000,0,High School,Skilled Manual,N
143,MS.,JASMINE,COLEMAN,8/12/1979,S,F,jasmine46@adventure-works.com,40000,0,High School,Skilled Manual,N
144,MRS.,KARLA,GOEL,26/08/1939,S,F,karla20@adventure-works.com,40000,2,Bachelors,Management,Y
145,MR.,ERNEST,WU,5/02/1939,M,M,ernest6@adventure-works.com,60000,2,Graduate Degree,Management,Y
146,MR.,ROSS,VAZQUEZ,16/08/1941,M,M,ross32@adventure-works.com,40000,2,Bachelors,Management,Y
147,MR.,THEODORE,GILL,20/04/1941,M,M,theodore14@adventure-works.com,40000,2,Bachelors,Management,Y
148,MR.,RUSSELL,SHEN,15/03/1941,S,M,russell6@adventure-works.com,40000,2,Bachelors,Management,Y
149,MRS.,MELINDA,GILL,25/02/1942,S,F,melinda9@adventure-works.com,60000,2,Graduate Degree,Management,N
150,MR.,JAMES,WILLIAMS,10/01/1976,S,M,james77@adventure-works.com,40000,0,High School,Skilled Manual,Y
151,MS.,ANGELA,JAMES,23/06/1976,M,F,angela34@adventure-works.com,40000,0,High School,Skilled Manual,Y
152,MS.,MEGAN,WALKER,21/08/1976,S,F,megan25@adventure-works.com,40000,0,Partial College,Skilled Manual,Y
153,MR.,HUNTER,ROBINSON,26/01/1976,S,M,hunter50@adventure-works.com,40000,0,Partial College,Skilled Manual,N
154,MS.,MARIA,ROBERTS,7/02/1976,S,F,maria47@adventure-works.com,40000,0,Partial College,Skilled Manual,N
155,MS.,HANNAH,LONG,11/06/1975,M,F,hannah32@adventure-works.com,40000,0,High School,Skilled Manual,Y
156,MR.,JASON,WRIGHT,8/10/1975,S,M,jason46@adventure-works.com,40000,0,High School,Skilled Manual,Y
157,MS.,BRIANNA,HUGHES,17/09/1975,S,F,brianna57@adventure-works.com,40000,0,High School,Skilled Manual,N
158,MR.,MAURICE,TANG,8/01/1974,S,M,maurice4@adventure-works.com,40000,0,Partial College,Skilled Manual,N
159,MS.,EMILY,WOOD,22/04/1974,S,F,emily27@adventure-works.com,40000,0,Partial College,Skilled Manual,N
160,MR.,CHASE,COX,5/03/1974,S,M,chase10@adventure-works.com,40000,0,Partial College,Skilled Manual,Y
161,MR.,GABRIEL,WANG,20/12/1974,M,M,gabriel21@adventure-works.com,40000,0,Partial College,Skilled Manual,Y
162,MR.,DEVIN,BROOKS,5/05/1974,S,M,devin63@adventure-works.com,40000,0,Partial College,Skilled Manual,N
163,MS.,JOCELYN,ALEXANDER,18/07/1973,M,F,jocelyn18@adventure-works.com,60000,0,Partial College,Skilled Manual,N
164,MS.,ASHLEY,MARTINEZ,24/04/1972,S,F,ashley18@adventure-works.com,70000,0,Partial College,Skilled Manual,N
165,MS.,JASMINE,BARNES,1/08/1972,S,F,jasmine43@adventure-works.com,80000,0,Bachelors,Management,N
166,MR.,DAVID,RODRIGUEZ,15/05/1968,S,M,david83@adventure-works.com,80000,0,Bachelors,Management,N
167,MR.,BRYCE,RICHARDSON,22/06/1968,M,M,bryce8@adventure-works.com,90000,4,Bachelors,Management,Y
168,MRS.,CAROL,HOWARD,5/02/1968,M,F,carol5@adventure-works.com,90000,4,Bachelors,Management,Y
169,MR.,JONATHAN,HILL,9/10/1967,S,M,jonathan43@adventure-works.com,100000,1,Bachelors,Management,Y
170,MRS.,GABRIELLE,ADAMS,21/11/1967,M,F,gabrielle58@adventure-works.com,100000,1,Bachelors,Management,Y
171,MS.,SARAH,THOMAS,1/09/1967,S,F,sarah13@adventure-works.com,110000,0,Graduate Degree,Management,N
172,MR.,NICHOLAS,ROBINSON,13/07/1967,M,M,nicholas19@adventure-works.com,110000,0,Graduate Degree,Management,Y
173,MR.,LUIS,WANG,5/03/1963,S,M,luis24@adventure-works.com,70000,0,Partial College,Skilled Manual,Y
174,MR.,MASON,ROBERTS,25/01/1968,M,M,mason25@adventure-works.com,90000,4,Bachelors,Management,Y
175,MR.,JOSE,FLORES,4/07/1942,M,M,jose6@adventure-works.com,110000,2,Graduate Degree,Management,Y
176,MR.,NATHAN,JOHNSON,24/08/1943,M,M,nathan55@adventure-works.com,100000,2,Graduate Degree,Management,Y
177,MRS.,MOLLY,RODRIGUEZ,14/06/1943,M,F,molly18@adventure-works.com,120000,2,Graduate Degree,Management,Y
178,MRS.,APRIL,ANAND,2/01/1943,M,F,april18@adventure-works.com,160000,1,Bachelors,Management,Y
179,MR.,DEVIN,MARTIN,8/08/1943,M,M,devin13@adventure-works.com,170000,2,Graduate Degree,Management,Y
180,MRS.,STEPHANIE,TORRES,25/08/1944,S,F,stephanie19@adventure-works.com,70000,4,Bachelors,Management,Y
181,MRS.,JASMINE,LEE,15/07/1944,S,F,jasmine19@adventure-works.com,70000,4,Bachelors,Management,Y
182,MRS.,MEGHAN,HERNANDEZ,16/11/1944,S,F,meghan3@adventure-works.com,70000,4,Bachelors,Management,Y
183,MRS.,ASHLEY,HENDERSON,8/10/1944,S,F,ashley31@adventure-works.com,70000,4,Bachelors,Management,Y
184,MRS.,SARAH,PRICE,21/05/1944,S,F,sarah25@adventure-works.com,70000,4,Bachelors,Management,Y
185,MRS.,JENNIFER,COOPER,22/02/1944,M,F,jennifer63@adventure-works.com,60000,4,Graduate Degree,Management,Y
186,MRS.,CATHERINE,MORRIS,6/09/1944,M,F,catherine16@adventure-works.com,60000,4,Graduate Degree,Management,N
187,MR.,CARSON,BRYANT,22/06/1944,M,M,carson17@adventure-works.com,70000,5,Bachelors,Management,Y
188,MRS.,KRISTI,PEREZ,18/12/1945,S,F,kristi39@adventure-works.com,70000,5,Bachelors,Management,Y
189,MR.,JAMES,BROWN,13/09/1945,M,M,james79@adventure-works.com,60000,4,Bachelors,Management,Y
190,MR.,IAN,GRAY,13/02/1945,M,M,ian72@adventure-works.com,60000,4,Bachelors,Management,Y
191,MRS.,JACQUELINE,PRICE,10/06/1945,M,F,jacqueline0@adventure-works.com,60000,4,Bachelors,Management,Y
192,MRS.,MEGAN,HENDERSON,10/02/1946,M,F,megan55@adventure-works.com,60000,5,Bachelors,Management,Y
193,MR.,ALFREDO,ROMERO,7/06/1946,M,M,alfredo10@adventure-works.com,60000,5,Bachelors,Management,Y
194,MRS.,ANDREA,MORRIS,18/06/1946,M,F,andrea18@adventure-works.com,70000,3,Bachelors,Management,N
195,MRS.,BROOKE,SANDERS,26/11/1946,S,F,brooke3@adventure-works.com,70000,4,Bachelors,Management,Y
196,MRS.,JACQUELINE,BENNETT,6/11/1946,M,F,jacqueline1@adventure-works.com,70000,4,Bachelors,Management,Y
197,MR.,JASON,GRIFFIN,22/11/1947,M,M,jason18@adventure-works.com,70000,4,Bachelors,Management,Y
198,MRS.,AMANDA,FOSTER,18/08/1947,M,F,amanda37@adventure-works.com,70000,4,Bachelors,Management,Y
199,MRS.,ALEXIA,PRICE,26/08/1947,M,F,alexia0@adventure-works.com,80000,5,Bachelors,Management,N
200,MR.,LUIS,DIAZ,21/08/1948,M,M,luis21@adventure-works.com,40000,2,High School,Professional,Y
201,MRS.,ABBY,FERNANDEZ,24/07/1948,M,F,abby13@adventure-works.com,40000,2,High School,Professional,Y
202,MR.,BLAKE,FLORES,24/09/1948,M,M,blake60@adventure-works.com,60000,2,Partial College,Professional,Y
203,MRS.,DANIELLE,COX,19/07/1948,S,F,danielle12@adventure-works.com,60000,2,Partial College,Professional,Y
204,MRS.,MARIA,REED,4/02/1948,M,F,maria4@adventure-works.com,60000,2,Bachelors,Management,Y
205,MRS.,ALLISON,EVANS,13/01/1948,M,F,allison21@adventure-works.com,60000,2,Bachelors,Management,Y
206,MR.,EDWARD,WOOD,8/06/1948,M,M,edward50@adventure-works.com,70000,4,Partial College,Professional,Y
207,MRS.,SAMANTHA,RUSSELL,12/10/1949,M,F,samantha42@adventure-works.com,40000,2,High School,Professional,Y
208,MRS.,CHLOE,CAMPBELL,5/11/1949,M,F,chloe4@adventure-works.com,40000,2,High School,Professional,Y
209,MRS.,STEPHANIE,MURPHY,14/05/1949,S,F,stephanie11@adventure-works.com,60000,2,Partial College,Professional,Y
210,MR.,CHARLES,MILLER,7/11/1949,S,M,charles9@adventure-works.com,60000,2,Partial College,Professional,Y
211,MRS.,ANA,PERRY,21/06/1950,M,F,ana7@adventure-works.com,40000,2,Partial High School,Skilled Manual,Y
212,MRS.,JASMINE,TORRES,20/05/1950,S,F,jasmine32@adventure-works.com,60000,2,Partial College,Professional,Y
213,MRS.,NATALIE,ADAMS,11/02/1950,S,F,natalie58@adventure-works.com,60000,2,Partial College,Professional,Y
214,MRS.,OLIVIA,BROWN,11/09/1950,S,F,olivia4@adventure-works.com,60000,2,Partial College,Professional,N
215,MR.,CHARLES,COOK,2/12/1950,M,M,charles69@adventure-works.com,60000,2,High School,Professional,Y
216,MRS.,ERICA,HUANG,23/02/1950,M,F,erica5@adventure-works.com,60000,2,Partial College,Professional,Y
217,MR.,NATHAN,PERRY,10/06/1950,M,M,nathan3@adventure-works.com,70000,4,Partial College,Professional,Y
218,MRS.,ALEXANDRA,RIVERA,17/08/1950,M,F,alexandra11@adventure-works.com,80000,3,Bachelors,Management,Y
219,MRS.,HAILEY,PATTERSON,16/09/1951,S,F,hailey30@adventure-works.com,70000,2,High School,Professional,Y
220,MRS.,TIFFANY,LI,6/09/1951,S,F,tiffany3@adventure-works.com,70000,2,High School,Professional,Y
221,MRS.,SYDNEY,ROSS,27/09/1951,M,F,sydney26@adventure-works.com,60000,2,Partial College,Professional,Y
222,MR.,MARSHALL,CHAVEZ,12/08/1951,S,M,marshall35@adventure-works.com,60000,2,Partial College,Professional,Y
223,MRS.,ASHLEY,JONES,19/04/1951,M,F,ashley3@adventure-works.com,60000,2,Partial College,Professional,Y
224,MR.,ADRIAN,STEWART,3/12/1951,S,M,adrian21@adventure-works.com,70000,4,Partial College,Professional,Y
225,MRS.,AMBER,TURNER,3/04/1951,M,F,amber4@adventure-works.com,70000,4,Partial College,Professional,N
226,MR.,DENNIS,ZHANG,14/11/1952,M,M,dennis1@adventure-works.com,60000,2,High School,Professional,Y
227,MRS.,HAILEY,BRYANT,27/09/1952,M,F,hailey38@adventure-works.com,60000,3,High School,Professional,N
228,MR.,TODD,LI,9/09/1952,M,M,todd5@adventure-works.com,70000,4,Partial College,Professional,Y
229,,ANNA,GRIFFIN,19/11/1952,S,NA,anna46@adventure-works.com,70000,4,Partial College,Professional,Y
230,MR.,ANGEL,STEWART,8/02/1952,M,M,angel24@adventure-works.com,70000,4,Partial College,Professional,Y
231,MR.,JEREMY,BUTLER,5/03/1952,S,M,jeremy29@adventure-works.com,70000,5,Partial College,Professional,Y
